 61000,342,8.8,.003,-66.1,-79.3,71.78,14,0.00,120.76,27,561,0.00,2
 62000,353,8.2,.003,-65.7,-79.6,68.33,13,0.00,114.76,26,561,0.00,2
 63000,6,8.0,.003,-65.4,-79.9,65.05,11,0.00,109.07,24,562,0.00,2
 64000,17,8.3,.003,-65.0,-80.2,61.94,10,0.00,103.65,23,562,0.00,2
 65000,26,8.9,.003,-64.5,-80.4,58.99,9,0.00,98.51,22,563,0.00,2
 66000,34,9.8,.003,-64.1,-80.7,56.17,8,0.00,93.62,21,564,0.00,2
 67000,41,11.0,.003,-63.7,-81.0,53.51,7,0.00,89.02,20,564,0.00,2
 68000,46,12.3,.003,-63.4,-81.3,50.97,7,0.00,84.66,19,565,0.00,2
 69000,50,13.8,.003,-63.1,-81.6,48.55,6,0.00,80.51,18,565,0.00,2
 70000,54,15.4,.003,-62.9,-81.8,46.26,6,0.00,76.66,17,565,0.00,2
 71000,57,17.1,.003,-62.8,-82.1,44.08,5,0.00,73.00,16,565,0.00,2
 72000,59,18.8,.003,-62.7,-82.4,41.99,5,0.00,69.52,15,565,0.00,2
 73000,62,19.8,.002,-62.7,-82.7,40.01,5,0.00,66.24,15,565,0.00,2
 74000,65,20.8,.002,-62.7,-83.0,38.13,4,0.00,63.12,14,565,0.00,2
 75000,68,21.9,.002,-62.7,-83.3,36.33,4,0.00,60.14,13,565,0.00,2
 76000,70,22.3,.002,-62.5,-83.5,34.62,4,0.00,57.26,13,566,0.00,2
 77000,72,22.6,.001,-62.3,-83.8,32.99,3,0.00,54.52,12,566,0.00,2
 78000,74,22.9,.001,-62.1,-84.1,31.44,3,0.00,51.91,12,566,0.00,2
 79000,74,23.5,.001,-61.7,-84.3,29.97,3,0.00,49.38,11,567,0.00,2
 80000,75,24.2,.001,-61.2,-84.6,28.57,2,0.00,46.96,10,567,0.00,2
 81000,75,24.8,.001,-60.8,-84.9,27.23,2,0.00,44.67,10,568,0.00,2
 82000,75,25.8,.002,-60.0,-84.4,25.97,2,0.00,42.44,9 569,0.00,2
 83000,76,27.0,.002,-59.0,-83.4,24.77,3,0.00,40.30,9 570,0.00,2
 84000,76,28.2,.002,-58.1,-82.4,23.62,3,0.00,38.27,9 572,0.00,2
 85000,76,29.7,.003,-57.2,-81.9,22.54,3,0.00,36.35,8 573,0.00,2
 86000,77,31.7,.003,-56.1,-82.2,21.51,3,0.00,34.53,8 574,0.00,2
 87000,77,33.8,.003,-55.1,-82.4,20.53,2,0.00,32.81,7 576,0.00,2
 88000,78,35.8,.003,-54.1,-82.7,19.60,2,0.00,31.17,7 577,0.00,2
 89000,78,36.7,.002,-53.8,-82.9,18.71,2,0.00,29.73,7 577,0.00,2
 90000,78,37.6,.001,-53.6,-83.2,17.87,1,0.00,28.36,6 578,0.00,2
 91000,78,38.4,.001,-53.4,-83.5,17.07,1,0.00,27.06,6 578,0.00,2
 92000,78,38.7,.001,-53.4,-83.8,16.30,1,0.00,25.83,6 578,0.00,2
 93000,77,37.6,.002,-53.6,-84.0,15.56,1,0.00,24.70,6 578,0.00,2
 94000,76,36.5,.002,-53.9,-84.3,14.86,1,0.00,23.62,5 577,0.00,2
 95000,75,35.5,.002,-54.2,-84.6,14.20,1,0.00,22.58,5 577,0.00,2
 96000,73,33.5,.004,-54.6,-84.8,13.55,1,0.00,21.60,5 576,0.00,2
 97000,70,30.8,.005,-55.1,-85.1,12.94,1,0.00,20.67,5 576,0.00,2
 98000,66,28.3,.005,-55.6,-85.4,12.36,1,0.00,19.79,4 575,0.00,2
 99000,62,25.8,.005,-56.1,-85.6,11.80,1,0.00,18.93,4 574,0.00,2
100000,58,24.3,.004,-56.3,-85.5,11.26,1,0.00,18.09,4 574,0.00,2
